show_id,title,type,genre,primary_country,added_year,release_year,rating,duration_num,duration_type
s16,Dear White People,TV Show,TV Comedies,United States,2021.0,2021,TV-MA,4.0,seasons
s16,Dear White People,TV Show,TV Dramas,United States,2021.0,2021,TV-MA,4.0,seasons
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Documentaries,,2021.0,2020,TV-MA,67.0,min
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,International Movies,,2021.0,2020,TV-MA,67.0,min
s18,Falsa identidad,TV Show,Crime TV Shows,Mexico,2021.0,2020,TV-MA,2.0,seasons
s18,Falsa identidad,TV Show,Spanish-Language TV Shows,Mexico,2021.0,2020,TV-MA,2.0,seasons
s18,Falsa identidad,TV Show,TV Dramas,Mexico,2021.0,2020,TV-MA,2.0,seasons
s19,Intrusion,Movie,Thrillers,,2021.0,2021,TV-14,94.0,min
s20,Jaguar,TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s20,Jaguar,TV Show,Spanish-Language TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s20,Jaguar,TV Show,TV Action & Adventure,,2021.0,2021,TV-MA,1.0,seasons
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Crime TV Shows,,2021.0,2021,TV-14,1.0,seasons
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Docuseries,,2021.0,2021,TV-14,1.0,seasons
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,International TV Shows,,2021.0,2021,TV-14,1.0,seasons
s22,Resurrection: Ertugrul,TV Show,International TV Shows,Turkey,2021.0,2018,TV-14,5.0,seasons
s22,Resurrection: Ertugrul,TV Show,TV Action & Adventure,Turkey,2021.0,2018,TV-14,5.0,seasons
s22,Resurrection: Ertugrul,TV Show,TV Dramas,Turkey,2021.0,2018,TV-14,5.0,seasons
s23,Avvai Shanmughi,Movie,Comedies,,2021.0,1996,TV-PG,161.0,min
s23,Avvai Shanmughi,Movie,International Movies,,2021.0,1996,TV-PG,161.0,min
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Children & Family Movies,,2021.0,2021,TV-Y,61.0,min
s25,Jeans,Movie,Comedies,India,2021.0,1998,TV-14,166.0,min
s25,Jeans,Movie,International Movies,India,2021.0,1998,TV-14,166.0,min
s25,Jeans,Movie,Romantic Movies,India,2021.0,1998,TV-14,166.0,min
s26,Love on the Spectrum,TV Show,Docuseries,Australia,2021.0,2021,TV-14,2.0,seasons
s26,Love on the Spectrum,TV Show,International TV Shows,Australia,2021.0,2021,TV-14,2.0,seasons
s26,Love on the Spectrum,TV Show,Reality TV,Australia,2021.0,2021,TV-14,2.0,seasons
s27,Minsara Kanavu,Movie,Comedies,,2021.0,1997,TV-PG,147.0,min
s27,Minsara Kanavu,Movie,International Movies,,2021.0,1997,TV-PG,147.0,min
s27,Minsara Kanavu,Movie,Music & Musicals,,2021.0,1997,TV-PG,147.0,min
s28,Grown Ups,Movie,Comedies,United States,2021.0,2010,PG-13,103.0,min
s29,Dark Skies,Movie,Horror Movies,United States,2021.0,2013,PG-13,97.0,min
s29,Dark Skies,Movie,Sci-Fi & Fantasy,United States,2021.0,2013,PG-13,97.0,min
s30,Paranoia,Movie,Thrillers,United States,2021.0,2013,PG-13,106.0,min
s31,Ankahi Kahaniya,Movie,Dramas,,2021.0,2021,TV-14,111.0,min
s31,Ankahi Kahaniya,Movie,Independent Movies,,2021.0,2021,TV-14,111.0,min
s31,Ankahi Kahaniya,Movie,International Movies,,2021.0,2021,TV-14,111.0,min
s32,Chicago Party Aunt,TV Show,TV Comedies,,2021.0,2021,TV-MA,1.0,seasons
s33,Sex Education,TV Show,British TV Shows,United Kingdom,2021.0,2020,TV-MA,3.0,seasons
s33,Sex Education,TV Show,International TV Shows,United Kingdom,2021.0,2020,TV-MA,3.0,seasons
s33,Sex Education,TV Show,TV Comedies,United Kingdom,2021.0,2020,TV-MA,3.0,seasons
s34,Squid Game,TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s34,Squid Game,TV Show,TV Dramas,,2021.0,2021,TV-MA,1.0,seasons
s34,Squid Game,TV Show,TV Thrillers,,2021.0,2021,TV-MA,1.0,seasons
s35,Tayo and Little Wizards,TV Show,Kids' TV,,2021.0,2020,TV-Y7,1.0,seasons
s36,The Father Who Moves Mountains,Movie,Dramas,,2021.0,2021,TV-MA,110.0,min
s36,The Father Who Moves Mountains,Movie,International Movies,,2021.0,2021,TV-MA,110.0,min
s36,The Father Who Moves Mountains,Movie,Thrillers,,2021.0,2021,TV-MA,110.0,min
s37,The Stronghold,Movie,Action & Adventure,,2021.0,2021,TV-MA,105.0,min
s37,The Stronghold,Movie,Dramas,,2021.0,2021,TV-MA,105.0,min
s37,The Stronghold,Movie,International Movies,,2021.0,2021,TV-MA,105.0,min
s38,Angry Birds,TV Show,Kids' TV,Finland,2021.0,2018,TV-Y7,1.0,seasons
s38,Angry Birds,TV Show,TV Comedies,Finland,2021.0,2018,TV-Y7,1.0,seasons
s39,Birth of the Dragon,Movie,Action & Adventure,China,2021.0,2017,PG-13,96.0,min
s39,Birth of the Dragon,Movie,Dramas,China,2021.0,2017,PG-13,96.0,min
s40,Chhota Bheem,TV Show,Kids' TV,India,2021.0,2021,TV-Y7,3.0,seasons
s41,He-Man and the Masters of the Universe,TV Show,Kids' TV,United States,2021.0,2021,TV-Y7,1.0,seasons
s41,He-Man and the Masters of the Universe,TV Show,TV Sci-Fi & Fantasy,United States,2021.0,2021,TV-Y7,1.0,seasons
s42,Jaws,Movie,Action & Adventure,United States,2021.0,1975,PG,124.0,min
s42,Jaws,Movie,Classic Movies,United States,2021.0,1975,PG,124.0,min
s42,Jaws,Movie,Dramas,United States,2021.0,1975,PG,124.0,min
s43,Jaws 2,Movie,Dramas,United States,2021.0,1978,PG,116.0,min
s43,Jaws 2,Movie,Horror Movies,United States,2021.0,1978,PG,116.0,min
s43,Jaws 2,Movie,Thrillers,United States,2021.0,1978,PG,116.0,min
s44,Jaws 3,Movie,Action & Adventure,United States,2021.0,1983,PG,98.0,min
s44,Jaws 3,Movie,Horror Movies,United States,2021.0,1983,PG,98.0,min
s44,Jaws 3,Movie,Thrillers,United States,2021.0,1983,PG,98.0,min
s45,Jaws: The Revenge,Movie,Action & Adventure,United States,2021.0,1987,PG-13,91.0,min
s45,Jaws: The Revenge,Movie,Horror Movies,United States,2021.0,1987,PG-13,91.0,min
s45,Jaws: The Revenge,Movie,Thrillers,United States,2021.0,1987,PG-13,91.0,min
s46,My Heroes Were Cowboys,Movie,Documentaries,,2021.0,2021,PG,23.0,min
s47,Safe House,Movie,Action & Adventure,South Africa,2021.0,2012,R,115.0,min
s48,The Smart Money Woman,TV Show,International TV Shows,,2021.0,2020,TV-MA,1.0,seasons
s48,The Smart Money Woman,TV Show,Romantic TV Shows,,2021.0,2020,TV-MA,1.0,seasons
s48,The Smart Money Woman,TV Show,TV Comedies,,2021.0,2020,TV-MA,1.0,seasons
s49,Training Day,Movie,Dramas,United States,2021.0,2001,R,122.0,min
s49,Training Day,Movie,Thrillers,United States,2021.0,2001,R,122.0,min
s50,Castle and Castle,TV Show,International TV Shows,Nigeria,2021.0,2021,TV-MA,2.0,seasons
s50,Castle and Castle,TV Show,TV Dramas,Nigeria,2021.0,2021,TV-MA,2.0,seasons
s51,Dharmakshetra,TV Show,International TV Shows,India,2021.0,2014,TV-PG,1.0,seasons
s51,Dharmakshetra,TV Show,TV Dramas,India,2021.0,2014,TV-PG,1.0,seasons
s51,Dharmakshetra,TV Show,TV Sci-Fi & Fantasy,India,2021.0,2014,TV-PG,1.0,seasons
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Action & Adventure,Japan,2021.0,2002,TV-14,99.0,min
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Anime Features,Japan,2021.0,2002,TV-14,99.0,min
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,International Movies,Japan,2021.0,2002,TV-14,99.0,min
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Action & Adventure,Japan,2021.0,2003,TV-14,99.0,min
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Anime Features,Japan,2021.0,2003,TV-14,99.0,min
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,International Movies,Japan,2021.0,2003,TV-14,99.0,min
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Action & Adventure,Japan,2021.0,2004,TV-PG,88.0,min
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Anime Features,Japan,2021.0,2004,TV-PG,88.0,min
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,International Movies,Japan,2021.0,2004,TV-PG,88.0,min
s55,InuYasha the Movie: Affections Touching Across Time,Movie,Action & Adventure,Japan,2021.0,2001,TV-PG,100.0,min
s55,InuYasha the Movie: Affections Touching Across Time,Movie,Anime Features,Japan,2021.0,2001,TV-PG,100.0,min
s55,InuYasha the Movie: Affections Touching Across Time,Movie,International Movies,Japan,2021.0,2001,TV-PG,100.0,min
s56,Nailed It,TV Show,Reality TV,United States,2021.0,2021,TV-PG,6.0,seasons
s57,Naruto Shippuden the Movie: Blood Prison,Movie,Action & Adventure,Japan,2021.0,2011,TV-14,102.0,min
s57,Naruto Shippuden the Movie: Blood Prison,Movie,Anime Features,Japan,2021.0,2011,TV-14,102.0,min
s57,Naruto Shippuden the Movie: Blood Prison,Movie,International Movies,Japan,2021.0,2011,TV-14,102.0,min
s58,Naruto Shippûden the Movie: Bonds,Movie,Action & Adventure,Japan,2021.0,2008,TV-PG,93.0,min
s58,Naruto Shippûden the Movie: Bonds,Movie,Anime Features,Japan,2021.0,2008,TV-PG,93.0,min
s58,Naruto Shippûden the Movie: Bonds,Movie,International Movies,Japan,2021.0,2008,TV-PG,93.0,min
s59,Naruto Shippûden the Movie: The Will of Fire,Movie,Action & Adventure,Japan,2021.0,2009,TV-PG,96.0,min
s59,Naruto Shippûden the Movie: The Will of Fire,Movie,Anime Features,Japan,2021.0,2009,TV-PG,96.0,min
s59,Naruto Shippûden the Movie: The Will of Fire,Movie,International Movies,Japan,2021.0,2009,TV-PG,96.0,min
s60,Naruto Shippuden: The Movie,Movie,Action & Adventure,Japan,2021.0,2007,TV-PG,95.0,min
s60,Naruto Shippuden: The Movie,Movie,Anime Features,Japan,2021.0,2007,TV-PG,95.0,min
s60,Naruto Shippuden: The Movie,Movie,International Movies,Japan,2021.0,2007,TV-PG,95.0,min
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,Action & Adventure,Japan,2021.0,2010,TV-14,85.0,min
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,Anime Features,Japan,2021.0,2010,TV-14,85.0,min
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,International Movies,Japan,2021.0,2010,TV-14,85.0,min
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Action & Adventure,Japan,2021.0,2005,TV-PG,97.0,min
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Anime Features,Japan,2021.0,2005,TV-PG,97.0,min
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,International Movies,Japan,2021.0,2005,TV-PG,97.0,min
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Action & Adventure,Japan,2021.0,2006,TV-PG,95.0,min
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Anime Features,Japan,2021.0,2006,TV-PG,95.0,min
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,International Movies,Japan,2021.0,2006,TV-PG,95.0,min
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Action & Adventure,Japan,2021.0,2004,TV-PG,83.0,min
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Anime Features,Japan,2021.0,2004,TV-PG,83.0,min
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,International Movies,Japan,2021.0,2004,TV-PG,83.0,min
s65,Nightbooks,Movie,Children & Family Movies,,2021.0,2021,TV-PG,103.0,min
s66,Numberblocks,TV Show,Kids' TV,United Kingdom,2021.0,2021,TV-Y,6.0,seasons
s67,Raja Rasoi Aur Anya Kahaniyan,TV Show,Docuseries,India,2021.0,2014,TV-G,1.0,seasons
s67,Raja Rasoi Aur Anya Kahaniyan,TV Show,International TV Shows,India,2021.0,2014,TV-G,1.0,seasons
s68,Saved by the Bell,TV Show,Kids' TV,United States,2021.0,1994,TV-PG,9.0,seasons
s68,Saved by the Bell,TV Show,TV Comedies,United States,2021.0,1994,TV-PG,9.0,seasons
s69,Schumacher,Movie,Documentaries,,2021.0,2021,TV-14,113.0,min
s69,Schumacher,Movie,International Movies,,2021.0,2021,TV-14,113.0,min
s69,Schumacher,Movie,Sports Movies,,2021.0,2021,TV-14,113.0,min
s70,Stories by Rabindranath Tagore,TV Show,International TV Shows,India,2021.0,2015,TV-PG,1.0,seasons
s70,Stories by Rabindranath Tagore,TV Show,TV Dramas,India,2021.0,2015,TV-PG,1.0,seasons
s71,Too Hot To Handle: Latino,TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s71,Too Hot To Handle: Latino,TV Show,Reality TV,,2021.0,2021,TV-MA,1.0,seasons
s71,Too Hot To Handle: Latino,TV Show,Romantic TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s72,A StoryBots Space Adventure,Movie,Children & Family Movies,,2021.0,2021,TV-Y,13.0,min
s73,Jack Whitehall: Travels with My Father,TV Show,British TV Shows,United Kingdom,2021.0,2021,TV-MA,5.0,seasons
s73,Jack Whitehall: Travels with My Father,TV Show,Docuseries,United Kingdom,2021.0,2021,TV-MA,5.0,seasons
s73,Jack Whitehall: Travels with My Father,TV Show,International TV Shows,United Kingdom,2021.0,2021,TV-MA,5.0,seasons
s74,King of Boys,Movie,Dramas,Nigeria,2021.0,2018,TV-MA,182.0,min
s74,King of Boys,Movie,International Movies,Nigeria,2021.0,2018,TV-MA,182.0,min
s75,The World's Most Amazing Vacation Rentals,TV Show,Reality TV,,2021.0,2021,TV-PG,2.0,seasons
s76,You vs. Wild: Out Cold,Movie,Children & Family Movies,,2021.0,2021,TV-G,106.0,min
s77,Yowamushi Pedal,TV Show,Anime Series,Japan,2021.0,2013,TV-14,1.0,seasons
s77,Yowamushi Pedal,TV Show,International TV Shows,Japan,2021.0,2013,TV-14,1.0,seasons
s78,Little Singham - Black Shadow,Movie,Children & Family Movies,,2021.0,2021,TV-Y7,48.0,min
s78,Little Singham - Black Shadow,Movie,Comedies,,2021.0,2021,TV-Y7,48.0,min
s79,Tughlaq Durbar,Movie,Comedies,,2021.0,2020,TV-14,145.0,min
s79,Tughlaq Durbar,Movie,Dramas,,2021.0,2020,TV-14,145.0,min
s79,Tughlaq Durbar,Movie,International Movies,,2021.0,2020,TV-14,145.0,min
s80,Tughlaq Durbar (Telugu),Movie,Comedies,,2021.0,2021,TV-14,145.0,min
s80,Tughlaq Durbar (Telugu),Movie,Dramas,,2021.0,2021,TV-14,145.0,min
s80,Tughlaq Durbar (Telugu),Movie,International Movies,,2021.0,2021,TV-14,145.0,min
s81,Firedrake the Silver Dragon,Movie,Children & Family Movies,,2021.0,2021,TV-Y7,93.0,min
s82,Kate,Movie,Action & Adventure,United States,2021.0,2021,R,106.0,min
s83,Lucifer,TV Show,Crime TV Shows,United States,2021.0,2021,TV-14,6.0,seasons
s83,Lucifer,TV Show,TV Comedies,United States,2021.0,2021,TV-14,6.0,seasons
s83,Lucifer,TV Show,TV Dramas,United States,2021.0,2021,TV-14,6.0,seasons
s84,Metal Shop Masters,TV Show,Reality TV,,2021.0,2021,TV-MA,1.0,seasons
s85,Omo Ghetto: the Saga,Movie,Action & Adventure,Nigeria,2021.0,2020,TV-MA,147.0,min
s85,Omo Ghetto: the Saga,Movie,Comedies,Nigeria,2021.0,2020,TV-MA,147.0,min
s85,Omo Ghetto: the Saga,Movie,Dramas,Nigeria,2021.0,2020,TV-MA,147.0,min
s86,Pokémon Master Journeys: The Series,TV Show,Anime Series,,2021.0,2021,TV-Y7,1.0,seasons
s86,Pokémon Master Journeys: The Series,TV Show,Kids' TV,,2021.0,2021,TV-Y7,1.0,seasons
s87,Prey,Movie,International Movies,,2021.0,2021,TV-MA,87.0,min
s87,Prey,Movie,Thrillers,,2021.0,2021,TV-MA,87.0,min
s88,Titipo Titipo,TV Show,Kids' TV,,2021.0,2019,TV-Y,2.0,seasons
s88,Titipo Titipo,TV Show,Korean TV Shows,,2021.0,2019,TV-Y,2.0,seasons
s89,Blood Brothers: Malcolm X & Muhammad Ali,Movie,Documentaries,,2021.0,2021,PG-13,96.0,min
s89,Blood Brothers: Malcolm X & Muhammad Ali,Movie,Sports Movies,,2021.0,2021,PG-13,96.0,min
s90,Mighty Raju,TV Show,Kids' TV,,2021.0,2017,TV-Y7,4.0,seasons
s91,Paradise Hills,Movie,Sci-Fi & Fantasy,Spain,2021.0,2019,TV-MA,95.0,min
s91,Paradise Hills,Movie,Thrillers,Spain,2021.0,2019,TV-MA,95.0,min
s92,The Women and the Murderer,Movie,Documentaries,France,2021.0,2021,TV-14,92.0,min
s92,The Women and the Murderer,Movie,International Movies,France,2021.0,2021,TV-14,92.0,min
s93,Into the Night,TV Show,International TV Shows,Belgium,2021.0,2021,TV-MA,2.0,seasons
s93,Into the Night,TV Show,TV Dramas,Belgium,2021.0,2021,TV-MA,2.0,seasons
s93,Into the Night,TV Show,TV Mysteries,Belgium,2021.0,2021,TV-MA,2.0,seasons
s94,JJ+E,Movie,Dramas,,2021.0,2021,TV-MA,91.0,min
s94,JJ+E,Movie,International Movies,,2021.0,2021,TV-MA,91.0,min
s94,JJ+E,Movie,Romantic Movies,,2021.0,2021,TV-MA,91.0,min
s95,Show Dogs,Movie,Children & Family Movies,United Kingdom,2021.0,2018,PG,90.0,min
s95,Show Dogs,Movie,Comedies,United Kingdom,2021.0,2018,PG,90.0,min
s96,The Circle,TV Show,Reality TV,United States,2021.0,2021,TV-MA,3.0,seasons
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,Documentaries,United States,2021.0,2018,TV-MA,97.0,min
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,Music & Musicals,United States,2021.0,2018,TV-MA,97.0,min
s98,Kid Cosmic,TV Show,Kids' TV,United States,2021.0,2021,TV-Y7,2.0,seasons
s98,Kid Cosmic,TV Show,TV Comedies,United States,2021.0,2021,TV-Y7,2.0,seasons
s98,Kid Cosmic,TV Show,TV Sci-Fi & Fantasy,United States,2021.0,2021,TV-Y7,2.0,seasons
s99,Octonauts: Above & Beyond,TV Show,British TV Shows,United Kingdom,2021.0,2021,TV-Y,1.0,seasons
s99,Octonauts: Above & Beyond,TV Show,Kids' TV,United Kingdom,2021.0,2021,TV-Y,1.0,seasons
s100,On the Verge,TV Show,TV Comedies,France,2021.0,2021,TV-MA,1.0,seasons
s100,On the Verge,TV Show,TV Dramas,France,2021.0,2021,TV-MA,1.0,seasons
s101,Tobot Galaxy Detectives,TV Show,Kids' TV,,2021.0,2019,TV-Y7,2.0,seasons
s102,Untold: Breaking Point,Movie,Documentaries,United States,2021.0,2021,TV-MA,80.0,min
s102,Untold: Breaking Point,Movie,Sports Movies,United States,2021.0,2021,TV-MA,80.0,min
s103,Countdown: Inspiration4 Mission to Space,TV Show,Docuseries,,2021.0,2021,TV-14,1.0,seasons
s103,Countdown: Inspiration4 Mission to Space,TV Show,Science & Nature TV,,2021.0,2021,TV-14,1.0,seasons
s104,Shadow Parties,Movie,Dramas,,2021.0,2020,TV-MA,117.0,min
s104,Shadow Parties,Movie,International Movies,,2021.0,2020,TV-MA,117.0,min
s104,Shadow Parties,Movie,Thrillers,,2021.0,2020,TV-MA,117.0,min
s105,Tayo the Little Bus,TV Show,Kids' TV,South Korea,2021.0,2016,TV-Y,2.0,seasons
s105,Tayo the Little Bus,TV Show,Korean TV Shows,South Korea,2021.0,2016,TV-Y,2.0,seasons
s106,Angamaly Diaries,Movie,Action & Adventure,India,2021.0,2017,TV-14,128.0,min
s106,Angamaly Diaries,Movie,Comedies,India,2021.0,2017,TV-14,128.0,min
s106,Angamaly Diaries,Movie,Dramas,India,2021.0,2017,TV-14,128.0,min
s107,Bunk'd,TV Show,Kids' TV,United States,2021.0,2021,TV-G,5.0,seasons
s107,Bunk'd,TV Show,TV Comedies,United States,2021.0,2021,TV-G,5.0,seasons
s108,A Champion Heart,Movie,Children & Family Movies,United States,2021.0,2018,G,90.0,min
s108,A Champion Heart,Movie,Dramas,United States,2021.0,2018,G,90.0,min
s109,Dive Club,TV Show,Kids' TV,Australia,2021.0,2021,TV-G,1.0,seasons
s109,Dive Club,TV Show,TV Dramas,Australia,2021.0,2021,TV-G,1.0,seasons
s109,Dive Club,TV Show,Teen TV Shows,Australia,2021.0,2021,TV-G,1.0,seasons
s110,La casa de papel,TV Show,Crime TV Shows,Spain,2021.0,2021,TV-MA,5.0,seasons
s110,La casa de papel,TV Show,International TV Shows,Spain,2021.0,2021,TV-MA,5.0,seasons
s110,La casa de papel,TV Show,Spanish-Language TV Shows,Spain,2021.0,2021,TV-MA,5.0,seasons
s111,Money Heist: From Tokyo to Berlin,TV Show,Docuseries,,2021.0,2021,TV-MA,1.0,seasons
s111,Money Heist: From Tokyo to Berlin,TV Show,International TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s111,Money Heist: From Tokyo to Berlin,TV Show,Spanish-Language TV Shows,,2021.0,2021,TV-MA,1.0,seasons
s112,Sharkdog,TV Show,Kids' TV,United States,2021.0,2021,TV-Y,1.0,seasons
s113,Worth,Movie,Dramas,,2021.0,2021,PG-13,119.0,min
s114,Afterlife of the Party,Movie,Comedies,,2021.0,2021,TV-PG,110.0,min
s114,Afterlife of the Party,Movie,Romantic Movies,,2021.0,2021,TV-PG,110.0,min
s115,Anjaam,Movie,Dramas,India,2021.0,1994,TV-14,143.0,min
s115,Anjaam,Movie,International Movies,India,2021.0,1994,TV-14,143.0,min
s115,Anjaam,Movie,Thrillers,India,2021.0,1994,TV-14,143.0,min
s116,Bright Star,Movie,Dramas,United Kingdom,2021.0,2009,PG,119.0,min
s116,Bright Star,Movie,Romantic Movies,United Kingdom,2021.0,2009,PG,119.0,min
s117,Dhanak,Movie,Comedies,India,2021.0,2015,TV-PG,114.0,min
s117,Dhanak,Movie,Dramas,India,2021.0,2015,TV-PG,114.0,min
s117,Dhanak,Movie,Independent Movies,India,2021.0,2015,TV-PG,114.0,min
s118,Final Account,Movie,Documentaries,United Kingdom,2021.0,2021,PG-13,94.0,min
s119,Gurgaon,Movie,Dramas,India,2021.0,2017,TV-14,106.0,min
s119,Gurgaon,Movie,International Movies,India,2021.0,2017,TV-14,106.0,min
s119,Gurgaon,Movie,Thrillers,India,2021.0,2017,TV-14,106.0,min
s120,Here and There,Movie,Dramas,,2021.0,2020,TV-MA,99.0,min
s120,Here and There,Movie,International Movies,,2021.0,2020,TV-MA,99.0,min
s120,Here and There,Movie,Romantic Movies,,2021.0,2020,TV-MA,99.0,min
s121,Heroes of Goo Jit Zu,TV Show,Kids' TV,Australia,2021.0,2021,TV-Y7,1.0,seasons
s121,Heroes of Goo Jit Zu,TV Show,TV Comedies,Australia,2021.0,2021,TV-Y7,1.0,seasons
s122,Hotel Del Luna,TV Show,International TV Shows,,2021.0,2019,TV-14,1.0,seasons
s122,Hotel Del Luna,TV Show,Romantic TV Shows,,2021.0,2019,TV-14,1.0,seasons
s122,Hotel Del Luna,TV Show,TV Comedies,,2021.0,2019,TV-14,1.0,seasons
s123,In the Cut,Movie,Thrillers,United Kingdom,2021.0,2003,R,118.0,min
s124,Luv Kushh,TV Show,Kids' TV,,2021.0,2012,TV-Y7,1.0,seasons
s125,Pororo - The Little Penguin,TV Show,Kids' TV,South Korea,2021.0,2013,TV-Y7,3.0,seasons
s125,Pororo - The Little Penguin,TV Show,Korean TV Shows,South Korea,2021.0,2013,TV-Y7,3.0,seasons
s126,Q-Force,TV Show,Crime TV Shows,United States,2021.0,2021,TV-MA,1.0,seasons
s126,Q-Force,TV Show,TV Action & Adventure,United States,2021.0,2021,TV-MA,1.0,seasons
